Nume,CodFiscal,Judet,Telefon,CifraDeAfaceriNetaRON2021,ProfitNetRON2021,CotaDePiata2021,CodCAEN2021,DescriereCodCAEN2021,Salariati2020,CifraDeAfaceriNetaRON2020,ProfitNetRON2020,CotaDePiata2020,CodCAEN2020,DescriereCodCAEN2020,Salariati2019,CifraDeAfaceriNetaRON2019,ProfitNetRON2019,CotaDePiata2019,CodCAEN2019,DescriereCodCAEN2019,Salariati2018,CifraDeAfaceriNetaRON2018,ProfitNetRON2018,CotaDePiata2018,CodCAEN2018,DescriereCodCAEN2018
EDEEA ECO PACKING SRL,40518410,MUREŞ,-,0,0,0%,1722,"Fabricarea produselor de uz gospodaresc si sanitar, din hârtie sau carton",4.0,0.0,0.0,0%,1722.0,"Fabricarea produselor de uz gospodaresc si sanitar, din hârtie sau carton",0.0,0.0,117937.0,0%,1722.0,"Fabricarea produselor de uz gospodaresc si sanitar, din hârtie sau carton",nan,nan,nan,nan,nan,nan
S.C ATLAS RESORTS SRL,40518380,MUREŞ,0740639155,383499,4373,0%,4120,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,5.0,409807.0,8841.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,2.0,43500.0,0.0,0%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan
THE CLEAN MAKERS SRL,40519881,BRAŞOV,0732044711,0,0,0%,8121,Activitati generale (nespecializate) de curatenie interioara a cladirilor,3.0,262074.0,19212.0,0.02%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor,1.0,58969.0,0.0,0%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor,nan,nan,nan,nan,nan,nan
QUICKDEPO SRL,40519938,BRAŞOV,-,131026,21798,0.01%,5224,Manipulari,4.0,164649.0,7082.0,0.01%,5224.0,Manipulari,1.0,0.0,0.0,0%,5224.0,Manipulari,nan,nan,nan,nan,nan,nan
FAN RUS SERVICE SRL,40519946,BRAŞOV,0744380340,84000,59672,0%,4520,Întretinerea si repararea autovehiculelor,3.0,111012.0,43654.0,0%,4520.0,Întretinerea si repararea autovehiculelor,1.0,15120.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor,nan,nan,nan,nan,nan,nan
S.C. POSATA NEL IMPEX SRL,40519792,ARGEŞ,-,341179,0,0%,5610,Restaurante,0.0,0.0,0.0,0%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SC DCC-HOLZ TEHNIC SRL,40520916,SIBIU,0733974467,544127,15390,0.01%,1610,Taierea si rindeluirea lemnului,5.0,300000.0,20403.0,0%,1610.0,Taierea si rindeluirea lemnului,0.0,50250.0,38430.0,0%,1610.0,Taierea si rindeluirea lemnului,nan,nan,nan,nan,nan,nan
S.C. BIO REAL FOOD SRL,40525417,ALBA,-,79140,18482,0.01%,5590,Alte servicii de cazare,0.0,14000.0,1436.0,0%,1039.0,Prelucrarea si conservarea fructelor si legumelor n.c.a.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PIANU AUTOSERVICE SRL,40527400,ALBA,-,609424,108458,0.01%,4520,Întretinerea si repararea autovehiculelor,3.0,266413.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor,0.0,0.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor,nan,nan,nan,nan,nan,nan
WEDDING ADA SOUND SRL,40527620,MUREŞ,0741151000,0,350,0%,9002,Activitati suport pentru interpretare artistica (spectacole),0.0,0.0,15888.0,0%,9002.0,Activitati suport pentru interpretare artistica (spectacole),0.0,0.0,0.0,0%,9002.0,Activitati suport pentru interpretare artistica (spectacole),nan,nan,nan,nan,nan,nan
STAR AUTO GALAXY SRL,40527701,MUREŞ,-,1004699,5727,0.01%,4520,Întretinerea si repararea autovehiculelor,7.0,716472.0,0.0,0.01%,4520.0,Întretinerea si repararea autovehiculelor,1.0,0.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor,nan,nan,nan,nan,nan,nan
S.C.FITNESS ROZMARIN SRL,40531923,BRAŞOV,0744779779,216442,8557,0.05%,9313,Activitati ale centrelor de fitness,4.0,123295.0,0.0,0.03%,9313.0,Activitati ale centrelor de fitness,5.0,18900.0,0.0,0%,9313.0,Activitati ale centrelor de fitness,nan,nan,nan,nan,nan,nan
